industry,import_dependency,supplier_concentration,major_suppliers_count,alternative_suppliers_count,avg_lead_time_days,inventory_days,safety_stock_days,monthly_procurement_lakhs,port_dependency,road_dependency,transport_mode,primary_port,shock_type,duration_days,severity_pct,crude_price_change_pct,usd_inr_change_pct,freight_index_change_pct,commodity_price_change_pct,inflation_rate_pct,port_congestion_pct,road_congestion_pct,transport_delay_days,cost_impact_pct,lead_time_impact_days,risk_score
Engineering,37.1,49.1,2,1,22.3,15.9,6.4,278.1,38.4,51.0,Road,JNPT (Navi Mumbai),None (Normal Baseline),0.0,0.0,-1.16,1.29,2.07,-0.63,3.95,26.9,32.9,0.1,3.07,0.0,20.4
Steel & Metallurgy,40.8,95.0,5,5,4.0,27.7,12.3,1817.8,58.7,82.7,Air,JNPT (Navi Mumbai),Global Container Shortage,42.0,37.9,8.23,1.54,73.63,-4.32,5.23,51.7,57.3,3.7,14.54,8.5,48.5
Engineering,43.3,38.8,2,2,27.1,37.3,14.7,12.6,47.6,56.8,Multimodal,JNPT (Navi Mumbai),Crude Oil Surge & Fuel Surcharge,17.0,57.6,33.26,0.51,12.56,1.11,6.29,33.3,69.9,2.3,8.74,7.0,32.6
Electronics,71.6,76.8,1,2,16.3,19.0,9.2,52.4,82.8,80.3,Road,Chennai Port,Critical Raw Material Shortage,34.0,43.2,12.69,2.47,-2.92,27.13,6.64,45.4,20.8,2.1,17.11,7.4,55.0
Engineering,38.1,75.3,3,1,23.8,30.7,11.4,58.8,87.0,64.4,Rail,Visakhapatnam,None (Normal Baseline),0.0,0.0,-0.01,0.69,0.88,-1.8,4.32,25.6,24.0,1.3,0.39,0.3,25.5
FMCG,15.7,40.0,4,2,5.9,15.5,7.8,11.2,40.2,76.6,Rail,Cochin Port,Monsoon Flooding & Highway Blockade,42.0,66.9,-0.72,3.41,8.73,5.55,4.38,48.0,63.0,5.7,8.37,10.3,55.2
Automotive,46.8,48.2,6,1,4.0,33.5,12.5,606.4,40.1,81.0,Road,Visakhapatnam,Critical Raw Material Shortage,11.0,50.7,3.3,-0.47,8.22,27.14,7.63,15.0,30.8,2.0,10.15,3.3,31.2
Chemicals,52.9,15.0,1,4,11.1,32.2,10.2,132.4,49.5,74.5,Road,Cochin Port,Currency Depreciation (USD/INR Spike),10.0,79.4,9.78,8.48,7.55,7.87,7.13,45.9,29.9,3.9,13.35,7.1,38.3
Electronics,72.1,28.2,3,1,17.8,30.0,12.2,104.1,78.0,75.5,Sea,Chennai Port,Major Port Congestion & Strike,13.0,68.2,8.91,0.97,73.52,8.9,6.06,78.3,30.4,6.6,20.0,13.8,59.8
Engineering,35.6,72.9,1,2,20.6,22.4,10.5,112.6,39.5,83.0,Road,Hazira (Surat),Labor Union Agitation,15.0,40.2,7.47,1.22,8.71,3.58,6.37,44.9,43.5,5.2,7.84,7.4,35.3
Electronics,55.6,68.0,1,2,10.8,23.9,10.1,1877.4,34.0,58.0,Road,Mundra (Gujarat),Currency Depreciation (USD/INR Spike),22.0,91.8,-1.49,6.22,18.63,6.49,7.12,43.6,39.5,1.5,10.03,5.8,44.1
Engineering,35.0,50.7,3,2,25.2,16.6,4.9,1302.1,75.9,29.2,Sea,Hazira (Surat),None (Normal Baseline),0.0,0.0,4.41,2.33,-3.94,-0.78,4.73,14.8,24.7,0.8,1.0,0.5,18.0
FMCG,18.7,46.8,4,3,14.5,31.1,16.7,122.4,27.5,57.7,Sea,Mundra (Gujarat),Crude Oil Surge & Fuel Surcharge,11.0,32.9,13.13,0.88,1.61,11.25,5.51,21.7,33.4,2.3,6.4,3.0,21.9
Steel & Metallurgy,45.2,57.1,1,3,8.7,42.0,21.9,36.7,41.7,41.5,Road,Kolkata & Haldia,Crude Oil Surge & Fuel Surcharge,26.0,94.1,55.29,1.92,-6.91,14.56,6.64,55.6,42.5,2.3,16.64,6.8,45.3
FMCG,7.6,46.6,8,4,10.8,22.5,8.7,235.8,15.6,98.0,Road,JNPT (Navi Mumbai),Critical Raw Material Shortage,35.0,62.9,12.9,1.77,8.6,46.56,5.5,27.3,25.7,2.5,21.95,4.6,46.4
Chemicals,53.5,15.7,2,1,22.7,20.6,8.1,11.9,50.1,75.2,Road,JNPT (Navi Mumbai),Major Port Congestion & Strike,7.0,76.5,2.93,2.4,60.15,5.38,5.14,63.5,45.9,8.1,12.98,14.4,56.6
Electronics,70.0,61.0,5,2,19.5,15.3,6.3,117.8,86.4,97.5,Road,Visakhapatnam,Monsoon Flooding & Highway Blockade,31.0,78.0,3.49,2.05,15.58,7.99,5.9,38.3,78.4,9.6,16.48,18.4,78.4
Engineering,57.9,49.9,5,2,15.5,25.9,13.7,1185.4,27.1,89.1,Road,Mundra (Gujarat),Critical Raw Material Shortage,22.0,78.9,22.9,3.48,10.4,51.36,5.86,44.9,59.2,2.6,28.67,8.3,58.0
Textiles,44.3,73.2,8,2,12.2,28.6,15.5,235.3,52.1,77.0,Road,Cochin Port,Import Tariff & Trade Restriction,38.0,34.5,1.48,3.44,20.09,17.78,6.28,55.5,36.5,2.8,12.36,7.0,38.4
Engineering,44.1,79.7,1,1,25.2,32.3,16.4,121.9,55.7,64.5,Rail,Cochin Port,Cyclone Alert & Coastal Freight Halt,34.0,76.7,0.81,-0.31,21.32,1.27,5.48,75.4,46.4,3.6,7.7,12.1,45.3
Textiles,25.0,52.7,1,4,11.5,42.3,21.3,819.7,2.5,66.2,Road,Hazira (Surat),Currency Depreciation (USD/INR Spike),36.0,72.1,-5.67,4.95,-5.31,2.53,8.48,45.3,42.9,1.0,2.49,2.8,20.3
Steel & Metallurgy,22.4,38.2,1,5,17.7,13.1,6.4,119.8,11.2,61.2,Sea,Visakhapatnam,None (Normal Baseline),0.0,0.0,-5.7,1.12,3.55,5.17,4.4,33.8,32.9,0.8,0.24,0.5,12.4
Electronics,75.3,63.9,1,1,34.7,24.0,7.7,65.4,75.2,47.1,Air,JNPT (Navi Mumbai),Labor Union Agitation,27.0,84.6,2.36,4.26,0.08,-2.93,6.59,54.4,65.7,6.9,11.0,17.8,63.2
Steel & Metallurgy,26.0,72.7,4,5,11.0,43.9,17.5,625.5,12.9,71.5,Sea,Hazira (Surat),Currency Depreciation (USD/INR Spike),33.0,87.7,8.32,7.27,-2.32,1.31,7.03,27.9,31.4,1.3,6.02,3.8,27.6
Chemicals,77.4,15.0,4,2,19.3,23.0,6.7,15.2,58.0,79.4,Road,JNPT (Navi Mumbai),Monsoon Flooding & Highway Blockade,15.0,78.3,7.79,3.21,2.71,-0.42,5.88,39.2,87.0,9.1,11.38,16.5,60.8
Textiles,5.0,57.6,3,6,16.0,19.3,5.9,968.1,34.3,83.8,Road,Cochin Port,Crude Oil Surge & Fuel Surcharge,13.0,90.0,41.82,2.12,4.97,7.45,3.71,57.1,50.1,3.5,15.87,7.4,49.2
Engineering,20.5,71.0,3,4,25.8,24.1,12.6,104.6,63.5,54.3,Sea,Hazira (Surat),None (Normal Baseline),0.0,0.0,-3.63,0.49,0.14,3.62,3.96,17.2,22.6,0.5,2.59,1.0,13.8
Electronics,60.1,88.1,3,2,7.0,22.3,7.0,2564.1,63.8,70.0,Sea,Cochin Port,None (Normal Baseline),0.0,0.0,-1.59,0.54,-2.64,-1.97,4.72,26.2,30.5,0.6,1.94,0.6,24.8
Automotive,35.3,32.3,3,1,24.9,18.5,10.0,585.9,54.4,47.7,Road,Visakhapatnam,None (Normal Baseline),0.0,0.0,3.69,-1.52,-1.55,0.09,5.51,28.7,32.8,1.4,2.62,0.4,21.9
Steel & Metallurgy,41.1,45.7,5,3,21.8,23.4,10.5,287.4,0.7,55.3,Rail,JNPT (Navi Mumbai),Monsoon Flooding & Highway Blockade,32.0,37.5,2.34,-1.35,4.89,5.67,5.52,29.6,69.3,7.9,5.7,8.2,33.9
Chemicals,69.5,65.4,5,3,28.7,7.1,2.3,341.3,54.4,73.5,Road,Hazira (Surat),Labor Union Agitation,34.0,93.1,20.24,2.01,27.27,5.59,4.91,60.9,44.4,7.1,18.34,17.0,82.6
Automotive,55.2,56.3,5,2,15.7,15.6,4.6,126.6,53.2,32.6,Rail,Hazira (Surat),Major Port Congestion & Strike,15.0,79.6,-2.27,3.42,68.0,2.04,5.93,79.5,53.5,4.7,13.67,10.9,61.1
Engineering,17.9,38.1,6,0,21.7,18.5,6.3,175.9,38.7,55.7,Sea,JNPT (Navi Mumbai),Labor Union Agitation,9.0,89.7,7.14,1.3,2.06,5.22,5.98,59.7,67.5,6.1,8.05,11.8,50.0
Textiles,18.6,61.0,5,2,4.0,32.0,14.7,677.9,17.2,59.3,Road,Visakhapatnam,Labor Union Agitation,30.0,49.4,5.25,1.0,7.02,-1.64,7.59,41.3,43.9,6.4,5.6,7.5,29.0
Chemicals,25.9,22.9,5,3,16.9,36.1,19.3,147.3,31.3,36.7,Road,Kolkata & Haldia,Critical Raw Material Shortage,36.0,56.4,17.93,-0.47,8.28,44.31,5.24,49.0,34.6,4.0,20.57,6.8,44.3
Chemicals,48.5,59.1,4,1,14.8,12.9,6.7,706.9,42.9,72.4,Road,Cochin Port,Labor Union Agitation,21.0,30.3,-3.36,1.67,13.6,5.23,6.46,38.4,37.6,1.6,4.18,4.2,35.3
Chemicals,64.9,60.8,8,0,17.0,10.3,3.1,31.8,60.5,59.5,Multimodal,Kolkata & Haldia,Crude Oil Surge & Fuel Surcharge,10.0,59.4,33.57,5.82,12.75,10.16,5.1,36.3,54.5,3.4,16.22,7.9,68.6
FMCG,37.9,55.4,1,5,8.2,18.3,4.8,278.7,1.0,74.8,Sea,Mundra (Gujarat),Monsoon Flooding & Highway Blockade,32.0,54.8,12.24,0.32,10.06,10.94,3.6,18.2,87.2,7.9,11.12,9.7,49.7
Steel & Metallurgy,37.2,76.2,4,1,20.9,39.3,11.9,28.4,29.7,73.6,Rail,Kolkata & Haldia,Crude Oil Surge & Fuel Surcharge,42.0,68.6,33.46,3.94,10.6,14.91,4.73,40.7,46.6,0.5,17.87,4.9,46.8
Electronics,98.0,69.4,4,3,8.1,26.5,6.6,57.4,87.5,74.5,Rail,Kolkata & Haldia,Major Port Congestion & Strike,39.0,55.4,7.53,2.62,37.93,9.87,4.91,78.7,37.7,3.5,20.3,13.7,68.1
Electronics,58.4,61.5,4,3,21.3,31.6,15.9,83.5,59.3,81.6,Road,Kolkata & Haldia,Currency Depreciation (USD/INR Spike),12.0,57.0,7.44,5.72,13.6,4.24,4.7,60.0,46.4,2.3,9.23,6.5,35.1
Textiles,18.8,81.2,5,2,21.2,37.8,15.0,2211.8,34.2,79.6,Sea,Kolkata & Haldia,Import Tariff & Trade Restriction,29.0,84.4,5.5,1.42,26.79,29.3,5.92,29.2,28.1,3.1,16.95,6.7,45.3
Chemicals,71.0,62.6,6,5,4.4,20.7,8.7,29.0,50.9,54.8,Road,Chennai Port,Global Container Shortage,40.0,36.3,1.91,1.26,69.34,5.7,8.14,49.7,54.1,1.4,11.52,5.5,43.1
FMCG,18.6,58.7,2,1,4.0,23.4,8.2,440.8,11.6,80.2,Road,JNPT (Navi Mumbai),None (Normal Baseline),0.0,0.0,-3.59,2.0,0.62,3.18,5.68,22.5,24.8,0.8,1.07,0.9,16.7
Engineering,60.9,67.4,5,1,25.3,13.7,3.5,1729.5,54.3,77.3,Sea,JNPT (Navi Mumbai),Global Container Shortage,29.0,56.3,18.36,1.37,77.94,-9.35,5.1,71.3,34.9,3.6,15.6,9.3,65.9
Electronics,47.9,25.2,2,1,17.1,18.8,5.2,96.3,58.9,56.2,Multimodal,Chennai Port,Labor Union Agitation,18.0,37.1,17.29,2.24,1.32,7.61,6.72,49.0,36.3,2.6,7.04,5.7,34.2
Electronics,55.1,58.8,5,1,17.2,8.4,3.2,616.7,68.4,55.7,Road,Chennai Port,Crude Oil Surge & Fuel Surcharge,23.0,82.6,50.12,1.26,23.66,7.4,5.57,33.9,52.2,3.6,18.29,9.2,79.7
Steel & Metallurgy,6.1,67.0,2,2,4.0,14.4,7.3,39.7,41.7,67.1,Rail,Mundra (Gujarat),Critical Raw Material Shortage,44.0,61.7,10.7,0.67,-3.88,52.74,4.94,25.8,36.3,3.8,25.86,6.1,65.7
Pharmaceuticals,74.2,43.9,6,5,27.9,28.9,13.3,16.7,49.2,69.2,Air,Hazira (Surat),None (Normal Baseline),0.0,0.0,5.0,0.36,1.43,0.52,4.7,20.9,31.4,1.3,0.48,-0.0,19.2
Chemicals,59.8,72.8,4,3,9.2,29.3,10.6,212.4,58.8,98.0,Road,Visakhapatnam,Monsoon Flooding & Highway Blockade,42.0,70.5,4.18,1.86,10.6,0.97,6.29,15.0,65.6,7.5,10.22,11.5,46.6
Steel & Metallurgy,6.9,50.6,2,4,11.6,20.3,7.4,2399.3,14.8,70.8,Road,Cochin Port,None (Normal Baseline),0.0,0.0,3.78,0.97,-0.43,1.06,4.3,34.1,36.1,0.5,2.72,0.3,16.6
Steel & Metallurgy,28.4,32.7,2,0,4.5,28.2,13.5,1006.7,64.8,84.1,Air,Kolkata & Haldia,Critical Raw Material Shortage,21.0,49.1,11.21,4.14,4.45,51.04,6.79,36.3,33.2,3.6,23.44,6.3,49.1
Electronics,53.0,56.2,5,0,21.2,22.5,6.2,545.6,30.0,65.8,Road,Chennai Port,Global Container Shortage,28.0,84.7,6.8,2.05,93.84,9.33,5.29,76.9,44.1,2.5,14.82,8.8,50.4
Chemicals,58.8,89.2,7,4,11.6,12.1,6.0,1223.9,55.1,51.9,Sea,Kolkata & Haldia,Labor Union Agitation,27.0,28.9,7.49,3.14,12.44,10.04,5.39,50.4,52.7,3.2,10.72,6.5,53.0
Automotive,5.0,56.2,8,2,14.4,14.2,6.0,11.1,47.2,66.5,Rail,Chennai Port,Labor Union Agitation,19.0,47.5,-4.5,2.21,8.83,1.33,6.09,53.1,61.4,3.6,3.76,7.0,40.0
Engineering,56.2,80.3,5,3,25.3,22.2,8.7,624.1,54.5,67.2,Road,Chennai Port,None (Normal Baseline),0.0,0.0,-5.73,1.66,2.0,-1.84,4.17,27.1,38.2,0.1,2.62,0.3,18.6
Electronics,69.8,36.8,6,5,21.6,11.8,4.3,189.0,69.1,71.0,Sea,Hazira (Surat),Major Port Congestion & Strike,12.0,36.6,13.66,2.46,47.13,9.38,4.7,78.4,30.2,3.6,14.56,7.1,55.0
Pharmaceuticals,92.8,90.0,4,2,24.1,28.2,12.3,73.8,72.0,78.2,Road,Visakhapatnam,Labor Union Agitation,28.0,27.3,3.17,0.16,2.95,3.68,5.98,52.9,32.5,4.1,6.79,8.4,37.0
Pharmaceuticals,40.8,23.6,1,2,21.0,41.8,12.9,328.2,75.3,66.6,Road,Hazira (Surat),Currency Depreciation (USD/INR Spike),25.0,51.1,4.33,4.77,20.58,7.67,4.47,32.6,44.8,3.2,10.66,6.7,32.0
Chemicals,41.3,31.1,3,1,16.7,26.7,9.7,13.3,48.8,63.3,Rail,Hazira (Surat),Cyclone Alert & Coastal Freight Halt,15.0,29.4,4.46,-0.55,14.66,9.11,5.36,67.2,31.9,2.4,6.77,4.4,25.3
Engineering,31.9,57.4,4,4,28.8,29.1,14.7,22.8,62.0,51.7,Rail,Mundra (Gujarat),Global Container Shortage,42.0,79.7,0.19,0.97,84.69,5.48,5.64,63.1,55.3,1.2,14.99,10.4,48.9
Electronics,78.9,75.6,4,1,17.1,20.4,10.3,57.2,99.0,31.4,Multimodal,Chennai Port,Global Container Shortage,34.0,87.2,3.3,3.13,105.74,-4.05,5.62,54.5,38.1,5.2,30.01,15.4,84.0
FMCG,19.4,59.7,3,4,11.2,14.5,6.6,50.9,13.1,41.3,Road,Mundra (Gujarat),Monsoon Flooding & Highway Blockade,39.0,43.8,7.71,2.02,13.52,2.78,5.17,40.4,56.9,6.5,6.29,7.3,43.2
Textiles,5.0,71.3,1,3,14.3,41.1,20.1,11.6,48.1,75.2,Sea,Chennai Port,Critical Raw Material Shortage,39.0,45.1,13.04,1.82,8.12,43.46,6.89,21.0,23.7,2.1,20.74,4.0,44.5
Pharmaceuticals,74.5,54.6,4,2,31.3,41.9,18.5,97.4,88.0,74.9,Road,Cochin Port,None (Normal Baseline),0.0,0.0,1.89,0.61,-2.03,-3.52,5.28,16.6,22.5,0.6,1.18,0.4,19.8
Pharmaceuticals,28.2,61.4,1,1,21.1,39.5,11.0,19.7,42.9,85.8,Road,Kolkata & Haldia,Critical Raw Material Shortage,32.0,70.6,10.06,0.51,7.09,59.56,6.0,20.6,37.9,2.9,28.07,6.4,54.1
Textiles,29.0,47.0,3,2,8.0,26.9,7.5,320.6,12.5,36.2,Rail,JNPT (Navi Mumbai),Import Tariff & Trade Restriction,23.0,91.4,2.78,-0.53,17.14,21.05,5.28,27.2,37.1,5.7,11.65,7.9,40.0
Engineering,47.4,75.2,5,0,19.9,28.9,10.9,61.2,41.9,42.9,Air,Hazira (Surat),Currency Depreciation (USD/INR Spike),15.0,77.8,8.02,5.86,11.58,4.75,6.23,40.2,43.7,3.3,9.99,7.6,41.9
FMCG,30.7,76.9,5,4,8.5,11.6,4.1,160.7,9.7,59.6,Road,Visakhapatnam,Major Port Congestion & Strike,9.0,70.4,-5.23,0.63,60.64,7.55,6.65,86.9,54.9,6.9,7.53,9.1,53.9
FMCG,5.0,76.0,3,3,5.9,17.5,7.7,33.6,17.3,59.2,Road,Hazira (Surat),Major Port Congestion & Strike,27.0,38.5,12.77,3.83,43.79,1.04,5.68,58.6,27.8,4.4,7.11,4.6,33.0
Textiles,9.3,82.5,3,2,6.3,20.5,8.1,800.2,37.8,58.5,Sea,Mundra (Gujarat),Global Container Shortage,26.0,70.2,6.05,2.26,105.81,-4.76,5.91,69.3,38.2,2.4,10.8,5.9,41.5
FMCG,30.8,49.3,8,1,4.5,21.6,5.5,18.4,9.4,89.1,Road,Cochin Port,Critical Raw Material Shortage,38.0,39.5,3.71,2.24,6.12,33.87,6.0,23.6,22.0,1.4,14.09,1.9,38.3
Pharmaceuticals,49.3,15.0,3,2,24.6,37.3,10.1,24.1,70.5,69.6,Road,Chennai Port,Global Container Shortage,9.0,83.7,5.49,1.41,100.98,2.91,6.08,55.3,47.3,1.3,16.87,7.5,42.4
Steel & Metallurgy,37.0,63.5,3,1,7.1,43.4,20.5,10.3,56.3,67.8,Air,JNPT (Navi Mumbai),Currency Depreciation (USD/INR Spike),9.0,60.3,8.88,7.31,12.41,2.09,6.25,34.6,41.5,3.9,8.37,7.0,33.2
Steel & Metallurgy,10.8,66.2,3,3,21.8,19.0,5.4,427.9,42.7,77.9,Sea,Kolkata & Haldia,None (Normal Baseline),0.0,0.0,-2.86,0.7,-1.64,2.31,3.83,8.4,26.9,0.6,1.16,0.2,14.4
FMCG,30.6,37.4,1,2,4.0,18.7,5.8,1252.7,45.5,78.0,Rail,JNPT (Navi Mumbai),Global Container Shortage,17.0,57.9,4.51,2.39,95.21,2.95,4.45,50.8,25.6,3.8,13.34,6.2,41.7
Automotive,34.5,70.6,6,1,16.6,13.6,7.2,456.7,7.0,36.6,Sea,Mundra (Gujarat),Cyclone Alert & Coastal Freight Halt,22.0,74.7,2.75,-0.49,12.57,3.64,6.62,75.7,38.7,2.2,4.25,4.2,35.3
Engineering,32.3,56.4,7,2,9.7,40.7,13.6,13.8,28.6,85.8,Sea,Hazira (Surat),Import Tariff & Trade Restriction,14.0,66.4,4.42,2.36,7.4,32.21,3.89,38.7,37.6,2.3,13.02,4.3,35.6
Pharmaceuticals,57.2,49.4,3,1,29.4,42.4,12.5,2557.7,55.4,53.3,Rail,Cochin Port,Monsoon Flooding & Highway Blockade,43.0,57.8,17.53,0.69,8.52,2.27,6.54,28.6,81.4,7.4,11.06,12.9,42.4
Chemicals,44.5,71.4,4,1,18.6,18.4,9.1,1216.6,74.1,32.8,Sea,Mundra (Gujarat),Major Port Congestion & Strike,15.0,47.6,-9.88,-1.1,43.82,-4.84,4.48,58.4,33.1,7.0,11.03,10.2,53.2
Pharmaceuticals,85.0,75.3,2,5,21.6,28.5,8.7,14.6,77.5,79.6,Multimodal,JNPT (Navi Mumbai),Labor Union Agitation,6.0,47.0,11.46,3.79,-1.99,13.92,7.72,31.4,46.2,2.9,10.77,5.6,36.8
Chemicals,41.2,70.3,7,6,4.0,19.5,9.7,102.2,44.0,69.8,Air,Mundra (Gujarat),Currency Depreciation (USD/INR Spike),39.0,70.8,-0.89,5.48,5.29,10.0,7.88,32.7,48.1,3.0,9.82,6.2,43.9
Automotive,60.6,70.6,1,1,19.8,6.2,3.3,400.1,49.4,40.6,Sea,Visakhapatnam,Critical Raw Material Shortage,37.0,36.0,2.32,-0.56,5.12,39.14,6.07,40.6,23.0,3.5,16.39,6.0,75.4
Automotive,60.3,39.3,5,2,19.8,15.2,6.1,1673.6,66.4,61.2,Road,Cochin Port,Global Container Shortage,19.0,35.9,16.21,0.87,80.15,11.45,7.55,39.1,42.5,2.5,16.27,5.9,51.5
Engineering,9.8,43.8,3,1,14.6,24.4,10.7,1023.8,70.3,52.7,Road,Hazira (Surat),Labor Union Agitation,31.0,58.2,12.95,-0.38,3.93,1.21,5.73,45.7,69.8,3.2,8.0,8.8,39.0
Steel & Metallurgy,14.7,73.0,3,4,19.6,19.2,6.2,1033.3,44.0,56.6,Sea,Hazira (Surat),Crude Oil Surge & Fuel Surcharge,44.0,76.1,50.84,2.36,16.42,5.39,6.59,36.3,26.0,2.6,16.87,6.7,53.8
Pharmaceuticals,81.6,82.8,3,1,30.3,32.7,14.3,42.1,71.5,62.3,Road,Hazira (Surat),Major Port Congestion & Strike,28.0,32.0,4.0,2.95,35.24,5.72,5.7,55.6,19.9,6.3,14.0,10.9,47.2
Engineering,64.3,44.8,1,3,22.6,22.2,9.4,94.7,46.4,97.6,Road,JNPT (Navi Mumbai),Import Tariff & Trade Restriction,29.0,64.4,9.67,1.5,9.2,23.06,5.46,48.6,33.0,1.1,15.35,6.4,50.0
Automotive,37.5,58.3,2,3,24.8,24.6,11.8,2972.7,0.0,14.5,Air,Cochin Port,Major Port Congestion & Strike,31.0,61.8,18.6,1.57,38.35,5.41,6.72,80.1,31.6,4.5,5.95,5.2,28.4
Steel & Metallurgy,23.4,51.5,1,3,11.1,45.2,15.6,43.0,44.2,55.7,Sea,Kolkata & Haldia,None (Normal Baseline),0.0,0.0,-1.52,0.52,-2.23,1.94,6.9,9.2,24.8,0.4,0.0,0.6,17.4
Automotive,41.7,60.5,7,3,26.4,23.9,11.0,73.5,50.3,66.7,Air,Mundra (Gujarat),Monsoon Flooding & Highway Blockade,43.0,37.0,-0.1,-0.44,9.15,1.67,4.04,49.9,64.2,4.6,5.51,9.1,39.3
Pharmaceuticals,76.7,69.1,4,3,27.0,24.6,10.2,118.2,49.3,98.0,Road,Mundra (Gujarat),Currency Depreciation (USD/INR Spike),9.0,62.5,11.28,7.68,6.72,7.22,6.46,33.8,38.8,3.3,13.18,7.8,46.6
Textiles,5.0,69.7,1,3,9.9,40.2,12.3,17.0,40.1,75.4,Rail,Mundra (Gujarat),Crude Oil Surge & Fuel Surcharge,19.0,73.0,34.87,2.31,6.67,7.36,5.99,50.4,35.3,0.6,12.07,3.5,34.5
Textiles,25.5,47.2,2,3,10.5,18.0,5.7,13.1,0.0,60.0,Road,Visakhapatnam,Monsoon Flooding & Highway Blockade,30.0,32.0,-1.0,3.77,0.64,2.86,4.73,24.5,54.7,4.1,3.7,4.4,24.4
FMCG,31.4,53.3,1,0,6.2,5.5,2.8,208.8,19.0,42.2,Road,Mundra (Gujarat),Critical Raw Material Shortage,19.0,64.1,8.18,1.03,1.15,55.94,5.82,29.7,41.5,3.4,21.79,6.0,79.8
Pharmaceuticals,61.1,51.2,3,3,28.9,29.0,15.0,343.7,67.6,55.0,Road,Chennai Port,Import Tariff & Trade Restriction,17.0,30.8,-2.91,0.25,1.51,15.55,6.26,41.7,49.6,2.9,6.87,5.4,29.6
Steel & Metallurgy,38.2,41.4,5,1,10.6,16.0,6.5,393.5,35.6,76.7,Road,Cochin Port,Monsoon Flooding & Highway Blockade,29.0,29.9,6.65,2.7,17.08,16.49,4.25,34.1,66.1,3.5,11.15,5.6,41.3
FMCG,33.4,35.3,4,7,17.2,20.6,7.0,2679.9,25.6,76.8,Sea,Hazira (Surat),Critical Raw Material Shortage,9.0,74.2,3.49,0.33,0.58,57.31,5.84,32.1,47.4,4.4,21.35,7.2,51.6
Automotive,79.3,32.6,1,4,12.5,22.1,10.0,34.7,61.8,90.3,Air,Mundra (Gujarat),Monsoon Flooding & Highway Blockade,39.0,46.0,11.57,-1.15,15.35,5.37,6.03,41.1,75.3,6.5,10.64,11.5,50.2
Pharmaceuticals,89.2,70.5,3,1,23.0,44.5,23.7,856.7,72.6,79.4,Road,Chennai Port,None (Normal Baseline),0.0,0.0,-1.42,0.53,-5.88,2.76,5.23,16.6,35.1,1.6,1.94,0.1,22.1
Engineering,14.2,45.6,3,4,9.2,28.4,15.1,45.8,49.0,93.1,Sea,Kolkata & Haldia,Labor Union Agitation,12.0,90.9,11.93,0.61,1.25,14.94,6.69,52.8,72.3,6.6,13.53,12.1,44.7
Pharmaceuticals,49.5,47.4,1,3,37.0,25.8,6.5,38.7,50.1,88.9,Sea,JNPT (Navi Mumbai),None (Normal Baseline),0.0,0.0,1.35,-1.24,-0.05,3.18,5.79,19.7,28.8,0.8,2.45,0.5,18.7
Automotive,42.9,39.2,4,1,12.5,14.7,4.8,447.1,33.5,53.2,Road,JNPT (Navi Mumbai),Monsoon Flooding & Highway Blockade,9.0,81.1,17.37,1.05,11.36,8.4,4.59,15.0,79.8,7.6,10.65,10.9,56.2
Pharmaceuticals,52.2,91.5,3,1,18.7,37.8,11.3,19.3,73.0,64.8,Road,Visakhapatnam,Cyclone Alert & Coastal Freight Halt,16.0,40.6,6.15,0.13,15.78,4.94,4.23,66.1,36.6,3.2,8.09,7.2,32.0
Chemicals,30.0,74.3,4,1,13.0,25.9,10.9,56.9,63.9,75.6,Road,Hazira (Surat),Currency Depreciation (USD/INR Spike),22.0,84.4,1.16,8.29,8.03,3.81,7.96,37.3,37.6,2.1,8.42,7.2,39.8
Electronics,51.7,67.8,4,3,15.2,29.4,11.6,477.9,79.5,78.5,Rail,Hazira (Surat),None (Normal Baseline),0.0,0.0,-4.74,-0.97,0.16,1.06,5.68,32.8,24.3,0.3,0.0,0.1,19.6
Steel & Metallurgy,24.8,63.5,3,2,17.9,6.6,3.0,1066.9,56.2,76.0,Road,Hazira (Surat),None (Normal Baseline),0.0,0.0,-4.7,0.32,3.83,4.7,5.16,22.7,27.7,1.2,1.59,0.7,20.7
Textiles,20.8,54.7,3,3,10.3,35.7,15.1,807.3,43.4,73.2,Air,Visakhapatnam,Major Port Congestion & Strike,16.0,87.2,2.35,3.77,57.45,12.32,3.83,92.4,42.7,5.6,15.92,11.2,44.7
Steel & Metallurgy,9.8,59.2,7,1,22.9,25.7,13.2,129.6,36.7,61.1,Sea,Visakhapatnam,Currency Depreciation (USD/INR Spike),42.0,50.1,6.09,5.9,15.06,3.81,6.19,41.7,28.4,2.8,6.84,5.4,33.2
Chemicals,44.9,37.2,2,1,21.6,20.4,5.7,1993.6,56.0,46.2,Rail,Kolkata & Haldia,Monsoon Flooding & Highway Blockade,44.0,61.5,11.11,2.63,4.51,9.88,6.55,23.7,68.0,9.2,13.05,12.8,59.2
Pharmaceuticals,56.3,71.6,3,1,22.7,19.5,5.4,46.8,40.5,93.4,Road,Kolkata & Haldia,Monsoon Flooding & Highway Blockade,39.0,36.2,1.11,2.29,10.96,9.52,5.82,52.1,70.6,4.9,9.17,9.1,46.2
Chemicals,69.9,15.0,3,1,18.7,27.0,10.5,783.9,64.4,81.5,Rail,Chennai Port,Cyclone Alert & Coastal Freight Halt,17.0,85.3,5.85,1.43,40.42,16.74,5.95,77.0,33.8,2.5,15.52,10.6,51.1
